BODYTYPE ,MAKE ,GENERIC MODEL ,BATTERY TYPE,CAPACITY(KWH),TOTAL_CAPACITY(KWH),MINERALS(KGS),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
CARS,VAUXHALL,VAUXHALL VIVARO,Lithium-ion,62.50,43062.50,132776.04,412,25,0,0,0,0,0,0,0,0,0,0,437
CARS,VOLVO,VOLVO S60,Lithium-ion,11.00,4026.00,12413.50,77,136,60,0,0,0,0,0,0,0,0,0,273
CARS,LAND ROVER,LAND ROVER DEFENDER,Lithium-ion,52.10,1875.60,5783.10,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,JEEP,JEEP RENEGADE,Lithium-ion,13.20,11074.80,34147.30,620,155,0,0,0,0,0,0,0,0,0,0,775
CARS,VOLVO,VOLVO S90,Lithium-ion,11.00,8272.00,25505.33,237,85,107,57,27,0,0,0,0,0,0,0,513
CARS,VOLKSWAGEN,VOLKSWAGEN TOUAREG,Lithium-ion,15.90,1113.00,3431.75,40,0,0,0,0,0,0,0,0,0,0,0,40
CARS,SKODA,SKODA SUPERB,Lithium-ion,25.00,81300.00,250675.00,1634,1217,0,0,0,0,0,0,0,0,0,0,2851
CARS,VOLKSWAGEN,VOLKSWAGEN UP,Lithium-ion,16.80,39412.80,121522.80,1383,245,0,23,12,18,27,92,30,0,0,0,1830
CARS,PEUGEOT,PEUGEOT RIFTER,Lithium-ion,22.50,2227.50,6868.13,11,0,0,0,0,0,0,0,0,0,0,0,11
CARS,GENESIS,GENESIS GV70,Lithium-ion,58.00,1276.00,3934.33,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES VITO,Lithium-ion,50.70,17339.40,53463.15,133,93,10,0,0,0,0,0,0,0,0,0,236
CARS,PEUGEOT,PEUGEOT 3008,Lithium-ion,55.00,1210.00,3730.83,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,CUPRA,CUPRA LEON,Lithium-ion,57.20,39296.40,121163.90,528,52,0,0,0,0,0,0,0,0,0,0,580
CARS,CITROEN,CITROEN SPACETOURER,Lithium-ion,62.50,5000.00,15416.67,33,0,0,0,0,0,0,0,0,0,0,0,33
CARS,MERCEDES,MERCEDES AMG CLASS,Lithium-ion,10.10,202.00,622.83,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES E CLASS,Lithium-ion,21.10,72921.60,224841.60,966,1196,970,0,0,0,0,0,0,0,0,0,3132
CARS,VAUXHALL,VAUXHALL ASTRA,Lithium-ion,11.95,2700.70,8327.16,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,BMW,BMW 2 SERIES,Lithium-ion,11.45,64406.25,198585.94,252,573,1549,1753,1002,477,0,0,0,0,0,0,5606
CARS,AUDI,AUDI A8,Lithium-ion,15.70,1617.10,4986.06,58,19,0,0,0,0,0,0,0,0,0,0,77
CARS,AUDI,AUDI Q7,Lithium-ion,18.25,16060.00,49518.33,530,264,0,0,0,0,0,0,0,0,0,0,794
CARS,CUPRA,CUPRA FORMENTOR,Lithium-ion,45.20,121678.40,375175.07,2011,0,0,0,0,0,0,0,0,0,0,0,2011
CARS,AUDI,AUDI A6,Lithium-ion,16.00,17040.00,52540.00,526,363,0,0,0,0,0,0,0,0,0,0,889
CARS,PEUGEOT,PEUGEOT TRAVELLER,Lithium-ion,62.50,7875.00,24281.25,87,0,0,0,0,0,0,0,0,0,0,0,87
CARS,MERCEDES,MERCEDES E CLASS,Lithium-ion,21.10,52623.40,162255.48,234,214,346,604,1010,23,0,0,0,0,0,0,2431
CARS,MERCEDES,MERCEDES EQV CLASS,Lithium-ion,90.00,75240.00,231990.00,489,93,0,0,0,0,0,0,0,0,0,0,582
CARS,TESLA,TESLA MODEL S,Lithium-ion,87.50,991375.00,3056739.58,18,904,1231,1887,2640,2455,1470,717,0,0,0,0,11322
CARS,FORD,FORD TOURNEO,Lithium-ion,58.50,994.50,3066.38,0,10,0,0,0,0,0,0,0,0,0,0,10
CARS,AUDI,AUDI Q8,Lithium-ion,18.80,2989.20,9216.70,130,0,0,0,0,0,0,0,0,0,0,0,130
CARS,DS,DS DS9,Lithium-ion,13.75,550.00,1695.83,15,0,0,0,0,0,0,0,0,0,0,0,15
CARS,GENESIS,GENESIS G80,Lithium-ion,77.40,619.20,1909.20,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,NISSAN,NISSAN NV200,Lithium-ion,40.00,58040.00,178956.67,398,275,237,73,132,120,97,24,0,0,0,0,1356
CARS,RENAULT,RENAULT TWIZY,Lithium-ion,6.10,3916.20,12074.95,0,0,0,28,12,50,97,47,125,283,0,0,642
CARS,SEAT,SEAT LEON,Lithium-ion,57.15,179736.75,554188.31,2197,868,0,0,0,0,0,0,0,0,0,0,3065
CARS,SSANGYONG,SSANGYONG KORANDO,Lithium-ion,52.50,3045.00,9388.75,8,0,0,0,0,0,0,0,0,0,0,0,8
CARS,TESLA,TESLA MODEL X,Lithium-ion,87.50,568400.00,1752566.67,50,1526,1284,1479,2115,42,0,0,0,0,0,0,6496
CARS,VOLKSWAGEN,VOLKSWAGEN GOLF,Lithium-ion,35.80,279526.40,861873.07,49,2692,3835,980,87,36,76,53,0,0,0,0,7808
CARS,AUDI,AUDI A7,Lithium-ion,15.70,3956.40,12198.90,74,161,0,0,0,0,0,0,0,0,0,0,235
CARS,AUDI,AUDI Q7,Lithium-ion,18.25,10165.25,31342.85,0,0,0,192,296,69,0,0,0,0,0,0,557
CARS,BMW,BMW I3,Lithium-ion,42.20,395329.60,1218932.93,0,0,250,2171,2503,1925,1604,831,84,0,0,0,9368
CARS,BMW,BMW I8,Lithium-ion,11.60,35670.00,109982.50,0,94,332,504,351,650,850,294,0,0,0,0,3075
CARS,BMW,BMW M5,Lithium-ion,14.00,112.00,345.33,0,0,0,0,8,0,0,0,0,0,0,0,8
CARS,CHEVROLET,CHEVROLET VOLT,Lithium-ion,18.40,2281.60,7034.93,0,0,0,0,0,0,0,0,63,61,0,0,124
