VEHICLE TYPE,MAKE,GENERIC MODEL,BODY TYPE,BATTERY TYPE,CAPACITY(KWH),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
CARS,CITROEN,CITROEN SPACETOURER,MINIVAN/VAN,LITHIUM-ION,62.5,33,0,0,0,0,0,0,0,0,0,0,0,33
CARS,MERCEDES,MERCEDES AMG CLASS,SEDAN,LITHIUM-ION,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES E CLASS,SEDAN,LITHIUM-ION,21.1,966,1196,970,0,0,0,0,0,0,0,0,0,3132
CARS,VAUXHALL,VAUXHALL ASTRA,HATCHBACK,LITHIUM-ION,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,BMW,BMW 2 SERIES,SEDAN,LITHIUM-ION,11.45,252,573,1549,1753,1002,477,0,0,0,0,0,0,5606
CARS,AUDI,AUDI A8,SEDAN,LITHIUM-ION,15.7,58,19,0,0,0,0,0,0,0,0,0,0,77
CARS,AUDI,AUDI Q7,SUV,LITHIUM-ION,18.25,530,264,0,0,0,0,0,0,0,0,0,0,794
CARS,CUPRA,CUPRA FORMENTOR,SUV,LITHIUM-ION,45.2,2011,0,0,0,0,0,0,0,0,0,0,0,2011
CARS,AUDI,AUDI A6,SEDAN,LITHIUM-ION,16,526,363,0,0,0,0,0,0,0,0,0,0,889
CARS,PEUGEOT,PEUGEOT TRAVELLER,MINIVAN/VAN,LITHIUM-ION,62.5,87,0,0,0,0,0,0,0,0,0,0,0,87
CARS,MERCEDES,MERCEDES E CLASS,SEDAN,LITHIUM-ION,21.1,234,214,346,604,1010,23,0,0,0,0,0,0,2431
CARS,MERCEDES,MERCEDES EQV CLASS,MINIVAN/VAN,LITHIUM-ION,90,489,93,0,0,0,0,0,0,0,0,0,0,582
CARS,TESLA,TESLA MODEL S,ELECTRIC CAR,LITHIUM-ION,87.5,18,904,1231,1887,2640,2455,1470,717,0,0,0,0,11322
CARS,FORD,FORD TOURNEO,MINIVAN/VAN,LITHIUM-ION,58.5,0,10,0,0,0,0,0,0,0,0,0,0,10
CARS,AUDI,AUDI Q8,SUV,LITHIUM-ION,18.8,130,0,0,0,0,0,0,0,0,0,0,0,130
CARS,DS,DS DS9,SEDAN,LITHIUM-ION,13.75,15,0,0,0,0,0,0,0,0,0,0,0,15
CARS,GENESIS,GENESIS G80,SEDAN,LITHIUM-ION,77.4,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,NISSAN,NISSAN NV200,MINIVAN/VAN,LITHIUM-ION,40,398,275,237,73,132,120,97,24,0,0,0,0,1356
CARS,RENAULT,RENAULT TWIZY,ELECTRIC CAR,LITHIUM-ION,6.1,0,0,0,28,12,50,97,47,125,283,0,0,642
CARS,SEAT,SEAT LEON,HATCHBACK,LITHIUM-ION,57.15,2197,868,0,0,0,0,0,0,0,0,0,0,3065
CARS,SSANGYONG,SSANGYONG KORANDO,SUV,LITHIUM-ION,52.5,8,0,0,0,0,0,0,0,0,0,0,0,8
CARS,TESLA,TESLA MODEL X,SUV,LITHIUM-ION,87.5,50,1526,1284,1479,2115,42,0,0,0,0,0,0,6496
CARS,VOLKSWAGEN,VOLKSWAGEN GOLF,HATCHBACK,LITHIUM-ION,35.8,49,2692,3835,980,87,36,76,53,0,0,0,0,7808
CARS,AUDI,AUDI A7,SEDAN,LITHIUM-ION,15.7,74,161,0,0,0,0,0,0,0,0,0,0,235
CARS,AUDI,AUDI Q7,SUV,LITHIUM-ION,18.25,0,0,0,192,296,69,0,0,0,0,0,0,557
CARS,BMW,BMW I3,ELECTRIC CAR,LITHIUM-ION,42.2,0,0,250,2171,2503,1925,1604,831,84,0,0,0,9368
CARS,BMW,BMW I8,SPORTS CAR,LITHIUM-ION,11.6,0,94,332,504,351,650,850,294,0,0,0,0,3075
CARS,BMW,BMW M5,SEDAN,LITHIUM-ION,14,0,0,0,0,8,0,0,0,0,0,0,0,8
CARS,CHEVROLET,CHEVROLET VOLT,ELECTRIC CAR,LITHIUM-ION,18.4,0,0,0,0,0,0,0,0,63,61,0,0,124
CARS,CITROEN,CITROEN C-ZERO,ELECTRIC CAR,LITHIUM-ION,14.5,0,0,0,0,0,24,0,0,63,110,46,0,243
CARS,FORD,FORD FOCUS,HATCHBACK,LITHIUM-ION,28.25,0,0,0,0,5,0,0,11,5,0,0,0,21
CARS,HYUNDAI,HYUNDAI IX35,SUV,LITHIUM-ION,24,0,0,0,0,0,0,5,0,0,0,0,0,5
